scenario,kernel,rotated,R,N,d,K,rep,rel_l2,fit_time,timestamp
C_dim_scaling,brownian,FALSE,10,50,2,5,0,0.850399095,5.273643494,1765225948
C_dim_scaling,brownian,FALSE,10,50,2,10,0,0.768016061,8.647589922,1765225968
C_dim_scaling,brownian,FALSE,10,50,3,5,0,0.92382888,5.483574629,1765225984
C_dim_scaling,brownian,FALSE,10,50,3,10,0,0.940799218,26.60804605,1765226029
C_dim_scaling,brownian,FALSE,10,50,2,5,1,0.842808368,6.733445406,1765226043
C_dim_scaling,brownian,FALSE,10,50,2,10,1,0.842750738,9.859026194,1765226060
C_dim_scaling,brownian,FALSE,10,50,3,5,1,1.004656169,8.127577782,1765226076
C_dim_scaling,brownian,FALSE,10,50,3,10,1,0.831063241,8.106134892,1765226096
C_dim_scaling,brownian,FALSE,10,50,2,5,2,0.853576556,5.100522518,1765226106
C_dim_scaling,brownian,FALSE,10,50,2,10,2,0.847983273,8.783565521,1765226123
C_dim_scaling,brownian,FALSE,10,50,3,5,2,1.042139089,6.593615294,1765226136
C_dim_scaling,brownian,FALSE,10,50,3,10,2,0.916230839,10.89359999,1765226160
C_dim_scaling,brownian,TRUE,10,50,2,5,0,0.827945782,5.451321125,1765226171
C_dim_scaling,brownian,TRUE,10,50,2,10,0,0.7726236,1.245447397,1765226179
C_dim_scaling,brownian,TRUE,10,50,3,5,0,0.906613164,5.583843231,1765226191
C_dim_scaling,brownian,TRUE,10,50,3,10,0,0.832731411,16.2075386,1765226223
C_dim_scaling,brownian,TRUE,10,50,2,5,1,0.746699005,0.902546883,1765226231
C_dim_scaling,brownian,TRUE,10,50,2,10,1,0.779381738,15.73927641,1765226255
C_dim_scaling,brownian,TRUE,10,50,3,5,1,0.945839958,8.596028566,1765226272
C_dim_scaling,brownian,TRUE,10,50,3,10,1,1.075960562,13.87582541,1765226301
C_dim_scaling,brownian,TRUE,10,50,2,5,2,0.88421779,5.610417366,1765226313
C_dim_scaling,brownian,TRUE,10,50,2,10,2,0.787371649,5.84825778,1765226326
C_dim_scaling,brownian,TRUE,10,50,3,5,2,0.900928306,6.888203859,1765226340
C_dim_scaling,brownian,TRUE,10,50,3,10,2,1.016765579,7.002811193,1765226359
C_dim_scaling,ibm,FALSE,10,50,2,5,0,1.071073464,4.988769531,1765226391
C_dim_scaling,ibm,FALSE,10,50,2,10,0,1.04249775,5.502540112,1765226421
C_dim_scaling,ibm,FALSE,10,50,3,5,0,0.972745387,6.499952555,1765226463
C_dim_scaling,ibm,FALSE,10,50,3,10,0,0.979736088,21.73519635,1765226552
C_dim_scaling,ibm,FALSE,10,50,2,5,1,1.029513812,2.292098284,1765226594
C_dim_scaling,ibm,FALSE,10,50,2,10,1,1.228857645,1.458349466,1765226622
C_dim_scaling,ibm,FALSE,10,50,3,5,1,0.971498636,6.731758833,1765226665
C_dim_scaling,ibm,FALSE,10,50,3,10,1,0.972245934,14.1367557,1765226732
C_dim_scaling,ibm,FALSE,10,50,2,5,2,0.924419924,0.920983315,1765226752
C_dim_scaling,ibm,FALSE,10,50,2,10,2,0.991686172,6.664318562,1765226786
C_dim_scaling,ibm,FALSE,10,50,3,5,2,0.974550907,15.23744226,1765226857
C_dim_scaling,ibm,FALSE,10,50,3,10,2,0.901261934,0.96507597,1765226917
C_dim_scaling,matern,FALSE,10,50,2,5,0,0.764269961,2.560446024,1765226933
C_dim_scaling,matern,FALSE,10,50,2,10,0,0.777238965,3.74529314,1765226947
C_dim_scaling,matern,FALSE,10,50,3,5,0,1.185322388,11.86652112,1765226969
C_dim_scaling,matern,FALSE,10,50,3,10,0,1.100985807,11.16444445,1765226994
C_dim_scaling,matern,FALSE,10,50,2,5,1,0.758566047,1.335276365,1765227002
C_dim_scaling,matern,FALSE,10,50,2,10,1,0.77032758,2.390257597,1765227011
C_dim_scaling,matern,FALSE,10,50,3,5,1,1.023049886,6.289771318,1765227025
C_dim_scaling,matern,FALSE,10,50,3,10,1,1.054239194,14.36392188,1765227054
C_dim_scaling,matern,FALSE,10,50,2,5,2,0.796957341,1.568836927,1765227067
C_dim_scaling,matern,FALSE,10,50,2,10,2,0.790002038,4.665751457,1765227090
C_dim_scaling,matern,FALSE,10,50,3,5,2,1.113599202,14.97643685,1765227117
C_dim_scaling,matern,FALSE,10,50,3,10,2,1.116441634,17.06066012,1765227153
C_dim_scaling,matern,TRUE,10,50,2,5,0,0.762828827,2.628744364,1765227165
C_dim_scaling,matern,TRUE,10,50,2,10,0,0.770477574,2.558422804,1765227175
C_dim_scaling,matern,TRUE,10,50,3,5,0,1.231790016,5.798773289,1765227187
C_dim_scaling,matern,TRUE,10,50,3,10,0,1.026949759,8.10266304,1765227205
C_dim_scaling,matern,TRUE,10,50,2,5,1,0.784460275,0.795851469,1765227212
C_dim_scaling,matern,TRUE,10,50,2,10,1,0.763730783,0.696326971,1765227218
C_dim_scaling,matern,TRUE,10,50,3,5,1,1.10952965,4.90685153,1765227228
C_dim_scaling,matern,TRUE,10,50,3,10,1,1.136969529,9.731069803,1765227248
C_dim_scaling,matern,TRUE,10,50,2,5,2,0.781792386,0.720794439,1765227254
C_dim_scaling,matern,TRUE,10,50,2,10,2,0.766038426,0.722471237,1765227260
C_dim_scaling,matern,TRUE,10,50,3,5,2,1.094311121,4.708343744,1765227271
C_dim_scaling,matern,TRUE,10,50,3,10,2,0.90062194,7.926303387,1765227288
